2026-04-14 00:13:38,452 | INFO | Inicio del programa
2026-04-14 00:14:02,746 | INFO | Inicio del programa
2026-04-14 00:14:02,746 | INFO | Guardadno en archivo
2026-04-14 00:14:02,747 | INFO | Fin del programa
2026-04-14 00:14:18,445 | INFO | Inicio del programa
2026-04-14 00:14:18,445 | INFO | Guardadno en archivo
2026-04-14 00:14:18,445 | INFO | Fin del programa
2026-04-14 00:16:51,666 | INFO | Inicio del programa
2026-04-14 00:16:51,666 | INFO | Guardadno en archivo
2026-04-14 00:16:51,667 | INFO | Fin del programa
